요리명,주재료,부재료,조리법 ,상세설명,데이터기준일자
녹차초코칩 샤브레,"버터 120g, 달걀 50g, 박력분 240g, 가루녹차 4큰술, 초코칩 80g, 달걀 흰자 약간","묻힘설탕 적당량, 슈거파우더 80g","① 버터는 말랑한 상태로 120g, 달걀도 차지 않은 상태로 노른자와 흰자를 반만 준비해서 약 50g 준비해준다. 그리고 슈가파우더 80g, 녹차가루 계량스푼으로 4큰술, 박력분 240g, 달걀 흰자 적당량과 겉에 묻혀줄 설탕 적당량을 계량해둔다. ② 먼저 실온의 부드러운 버터를 볼에 넣고 거품기로 젓다가 슈가파우더를 3~4차례 나눠 넣으면서 버터와 섞이도록 거품기로 저어준다. ③ 버터와 슈가파우더가 잘 섞였으면 먼저 달걀의 노른자만 넣고 섞고 이어서 흰자도 같이 넣어서 거품기로 잘 저어준다. ④ 거품기를 조심스럽게 털어서 거품기에 남아 있는 반죽이 없게 잘 털어준 뒤에 체에 친 박력분 240g과 녹차가루 4큰술을 넣어준다. 그리고 주걱을 세워 재빨리 가루 종류와 버터반죽을 같이 섞어준다. 박력분과 가루녹차는 체에 쳐서 굵직한 알갱이는 걸러내고 사용해준다. ⑤ ⅔쯤 반죽이 섞였으면 초코칩을 80g 넣고 날가루가 보이지 않도록 섞어준다. ⑥ 잘 섞인 반죽은 3덩어리로 나눠서 동그랗게 또는 네모지게 기둥 모양으로 만들고 이것을 랩 또는 종이호일 등을 이용해서 싸고 냉동실에 2~3시간 두어 딱딱하게 굳혀준다. ⑦ 겉면에 달걀 흰자를 골고루 바르고 설탕을 꼼꼼히 묻혀준다. ⑧ 약 두께 0.7cm 정도로 썰어서 오븐 팬에 간격을 두어 펼쳐 넣고 미리 170℃로 예열한 오븐에 넣고 12~15분간 구워준다.",6인분 기준 2시간 이상 걸림,2022-10-30
녹차카라멜,"생크림 146g, 설탕 146g, 녹차가루 2ts, 올리고당 1Ts",,① 그릇에 녹차가루를 넣고 생크림을 조금씩 부어가며 잘 풀어준다. ② ①의 생크림을 체에 거른 뒤 냄비에 붓고 약불에서 끓여준다. ③ 팔팔 끓이지 않고 작은 기포가 생길 때까지 끓여준다. ④ 분량의 설탕을 넣고 약불에서 서서히 끓여준다. 절대로 휘휘 저으면 안된다. 설탕이 녹게끔 팬만 살짝 흔들어준다. ⑤ 올리고당 1큰술을 넣고 끓여준다. 농도가 잡히면 불에서 내려준다. ⑥ 적당한 틀에 부어서 차가운 곳에 식혀준다.,4인분 기준 60분 이내 완성,2022-10-30
녹차카스테라,"쌀가루박력분 115g, 녹차가루 10g, 설탕 115g, 우유 25g, 꿀 20g, 달걀 4개, 바닐라익스트랙 조금, 청주 1큰술, 버터 25g, 베이킹파우더 1g",,"① 버터와 우유를 전자레인지를 이용해 녹여주고 청주까지 섞어준다. ② 달걀의 멍울을 풀어 주고 설탕을 서너번에 나누어 넣으며 휘핑해준다. (멍울풀기 - 고속휘핑 - 중속휘핑 - 저속휘핑 단계) ③ 믹서기를 들어올렸을 때 반죽이 떨어져 3초 정도 멈춰있거나 그림을 그려보아 변하지 않으면 휘핑을 멈춰준다. 체에 두어번 내린 가루류를 넣고 반죽을 바닥에서 위로 퍼올리듯 가볍게 섞어준다. 이때 볼 가장자리도 정리해준다. 미리 녹여둔 버터에 본반죽을 조금 떠넣고 고루 섞어 본반죽에 넣고 섞어준다. ④ 오븐팬에 유산지나 테프론시트지를 깐 뒤 카스테라 틀에 유산지를 맞게 잘라넣고, 반죽을 위에서 아래로 떨어뜨리듯이 부어준다. 오븐팬을 가볍게 탕탕 쳐주고 160℃로 예열된 오븐에서 20분, 150℃로 내려 20~25분 정도 구워준다. 윗면이 탄다 싶으면 종이호일을 한번 덮고 구워준다. ⑤ 구워져 나오면 종이호일을 깐 바닥에 뒤집어 식혀준다.",60분 이내 완성,2022-10-30
녹차카스테라,"강력분 200g, 계란 8~10개, 설탕 230g, 물엿(꿀) 3큰술, 술(미림·정종·럼주 등) 10cc, 녹차가루 2큰술, 온수 2큰술, 우유 40cc, 소금 조금, 바닐라에센스 1작은술",,① 계란 10개를 넣고 휘핑을 쳐준다. ② 계란 전란에 소금을 조금 넣고 휘핑하다가 설탕을 넣고 뽀얀 미색이 날 때까지 휘핑해준다. 설탕이 안녹는다면 팔팔 끓인물에 볼을 담갔다가 볼이 따끈해지면 다시 휘핑해주고 다시 중탕했다가 휘핑하기를 두세번 정도 해준다. ③ 녹차가루를 온수에 풀어서 조금씩 흘려 넣고 휘핑해준다. ④ 두번 체 친 강력분을 넣고 반죽을 해준다. ⑤ 유산지를 깔아둔 카스테라 틀에 반죽을 넣고 주걱이나 거품기로 휘저어 공기를 빼준 후 180℃ 오븐에서 35분 굽고 온도를 낮추어 160℃ 오븐에서 10분간 더 구워준다. ⑥ 구운 후 뒤집어 식힘망에 올려 식혀주고 틀을 제거하고 유산지는 그대로 둔 체로 식혀준다. 카스테라가 완전히 식었을 때 빵칼로 잘라준다.,6인분 기준 60분 이내 완성,2022-10-30
녹차쿠키,"버터 160g, 분당 60g, 계란흰자 34g, 소금 1g, 바닐라익스트랙, 박력분 180g, 녹차가루 5g",,"① 실온에 두어 말랑해진 버터를 크림화해준다. ② 분당을 여러번 나누어 버터에 섞어준다. ③ 바닐라익스트랙과 소금을 넣어 섞어준다. (버터+분당+바닐라익스트랙+소금 모두 섞인 상태) ④ 계란 흰자를 넣어 섞어준다. ⑤ 여기에 가루류를 모두 넣어준다. 가루는 2~3회 체 쳐서 준비해준다. ⑤ 박력분을 체 쳐서 넣고, 녹차가루도 나누어 넣어준다. ⑥ 짤주머니에 넣어 짜준다. ⑦ 오븐 170℃로 15분 구워준다. 10분 구워준 후 방향을 바꿔 5분간 구워준다.",,2022-10-30
녹차쿠키,"버터 40g, 설탕 40g, 소금 약간(엄지 검지로 집어), 달걀 ½개",바닐라오일 1/4ts,① 계란과 바닐라오일을 조금씩 넣으며 믹싱하여 아이보리색이 나도록 믹싱하여 크림화해준다. ② 체에 친 박력분을 넣고 주걱으로 칼질하듯 바둑판 무늬를 그리며 섞어준다. ③ 밀가루가 보이지 않을 정도까지만 섞어준 후 랩에 싼 뒤 냉장고에 30분 정도 휴지시켜준다. ④ 180℃ 오븐에 5분간 예열해준다. ⑤ 휴지된 반죽을 꺼내 위아래로 비닐을 깔아 약 4mm 두께로 밀어준다. 쿠키커터로 반죽을 찍은 뒤 쿠키팬에 팬닝해준다. ⑥ 완성된 쿠키를 꺼내 장식해준다.,약 20개 분량,2022-10-30
녹차크랜베리 머핀 ,"버터 100g, 설탕 70g, 계란 1개, 노른자 1개, 박력분 115g, 우유 25g, 녹차가루 3g ","크랜베리 50g, 뜨거운물 넉넉히","① 실온에 두어 부드러워진 버터와 설탕을 넣고 휘핑해준다. ② 풀어둔 달걀을 조금씩 넣어가며 버터와 분리되지 않도록 잘 섞어준다. ③ 박력분과 베이킹파우더, 녹차가루를 체에 쳐 넣어준다. ④ 버터와 가루류를 섞으면서 날가루가 약간 보일 때 우유를 넣어준다. ⑤ 뜨거운물을 크랜베리가 자작하게 잠기도록 붓고 20분 정도 충분히 불려준다. 그 뒤에 물을 빼고 믹서기에 넣고 돌려 갈아준다. ⑥ 머핀반죽에 페이스트를 넣고 고루 섞어준다. ⑦ 머핀틀에 유산지를 넣고 반죽을 넣어준다. 80% 정도 채워준다. 예열된 오븐 180℃에서 20분 정도 구워준다.",3인분 기준 60분 이내 완성,2022-10-30
녹차크랜베리머핀,"달걀 1개, 박력분 80g, 녹차가루 3g, 베이킹파우더 3g, 우유 10ml, 크랜베리 25g","버터 50g, 설탕 50g",① 실온의 버터를 부드럽게 풀어주고 설탕을 조금씩 섞어준다. ② 실온의 달걀을 넣고 골고루 섞어준다. ③ 체에 내린 가루류를 넣고 주걱으로 井을 그리며 섞어준다. ④ 가루가 안보일 때쯤 우유를 넣고 섞어준다. ⑤ 크랜베리를 넣고 반죽을 완성해준다. ⑥ 완성된 반죽을 머핀틀에 담고 180℃로 예열한 오븐에서 12~15분 가량 구워준다.,,2022-10-30
녹차크렘브륄레,"생크림 200g, 녹차가루 20g, 설탕 50g, 우유 100g, 노른자 4개",,"① 유리볼에 노른자와 설탕을 섞어준다. ② 냄비에 녹차가루를 체 쳐주고 우유, 생크림과 섞은 후 데워준다. (끓지 않고 따뜻한 정도) ③ ①에 ②를 체에 걸러 부은 뒤 섞어준다. ④ 반죽을 틀에 80% 가량 채워준다. ⑤ 오븐팬에 뜨거운물을 담아 160℃ 오븐에서 30분간 구워준다. ⑥ 구운 크렘브륄레를 차갑게 식힌 후 설탕을 뿌리고 토치를 이용하여 설탕을 녹여준다.",분량: 4인분 기준 조리시간: 60분 이내 요리팁: 오븐이 없다면 랩을 싼 후 찜기에 쪄준다.,2022-10-30
녹차크림 소스와 대구 스테이크,"대구살 4쪽(중간 크기 대구 1마리분), 소금·후춧가루 약간씩, 레몬즙 2큰술, 올리브오일 적당량, 화이트와인 2큰술, 피망 ½개, 아스파라거스 4개, 파슬리가루 ½작은술, 장식용 라임(또는 레몬) 약간","버터·밀가루 1작은술씩, 우유 1컵, 가루녹차 2큰술, 오레가노 ½작은술, 소금·후춧가루 약간씩","① 대구살은 물기를 닦고 소금, 후춧가루, 레몬즙을 뿌려둔다. ② 팬에 올리브오일을 두르고 대구살을 앞뒤로 뒤집어가며 굽다가 노릇해지면 화이트와인을 넣고 강한 불로 구워준다. ③ 피망은 4등분하고 아스파라거스와 함께 올리브오일을 두른 팬에 구워준다. ④ 녹차크림소스를 만들어준다. 팬에 버터를 녹이고 밀가루를 넣어 타지 않게 볶다가 우유를 넣고 뭉근히 끓여준다. 가루녹차와 오레가노를 넣고 소금, 후춧가루로 간 해준다. ⑤ 접시에 구운 대구살을 담고 녹차크림소스를 끼얹은 후 아스파라거스와 피망, 라임을 곁들여준다.",1인분 기준,2022-10-30
녹차타르트,"타르트지재료(박력분 130g, 코코아가루 15g, 버터 75g, 슈가파우더 30g, 노른자 1개), 아몬드크림재료(아몬드가루 60g, 박력분 30g, 버터 60g, 슈가파우더 50g, 달걀 1개), 녹차가나슈재료(생크림 80g, 화이트초콜릿 100g, 녹차가루 1개, 버터 1숟가락)",피칸 2개,"[타르트지 만들기] ① 버터를 크림화한 다음 슈가파우더를 체 쳐 넣고 섞어준다. ② 노른자를 넣고 버터와 섞은 후 박력분, 코코아가루를 체 쳐 넣어 섞어준다. ③ 반죽을 한덩어리로 뭉친 후 냉장고에 30분~1시간 휴지해준다. [아몬드크림 만들기] ① 버터를 크림화한 다음 슈가파우더를 체 쳐 넣고 섞어준다. ② 달걀을 2번에 나눠 넣고 분리되지 않게 섞은 후 박력분, 아몬드가루를 체 쳐 넣고 섞어 랩으로 감싸 냉장고에 보관해둔다. [녹차가나슈, 밀크티가나슈 만들기] ① 냄비에 생크림을 붓고 생크림 겉 테두리 부분이 기포가 생길 때까지 끓여준다. ② 화이트초콜릿을 넣어 녹인 후 녹차가루를 넣고 섞어준다. [완성] ① 녹인 버터를 칠한 타르트지틀에 휴지가 끝난 타르트지 반죽을 얇게 붙인 후 포크로 구멍을 내준다. ② 아몬드크림을 안에 70% 정도 채운 후 180℃ 예열된 오븐에 30분간 구운 후 식혀준다. ③ 버터를 넣어 녹인 후 구운 타르트 위에 붓고 피칸으로 장식해 냉장고에서 1~2시간 굳혀준다.",분량: 6인분 이상 조리시간: 120분 이내,2022-10-30
녹차타르트,"타르트지(버터 30g, 슈가파우더 20g, 소금 1꼬집, 계란노른자 1개, 박력분 65g), 녹차가나슈(화이트초콜릿 100g, 생크림 45g, 버터 5g, 녹차가루 적당량)",,"① 버터를 크림화시키고 설탕, 소금을 넣고 섞어준다. ② 노른자를 넣고 섞다가 박력분을 넣고 또 섞어준다. ③ 반죽을 만들어 비닐봉지에 담고 냉장고에서 휴지시켜준다. ④ 180℃에서 12분간 굽고 식혀준다. ⑤ 생크림을 데워주고 화이트초콜릿을 넣고 가열해준다. ⑥ 초콜릿이 다녹으면 버터를 넣고 섞어준다. ⑦ 녹차가루를 넣고 싶은만큼 체 쳐서 넣어준다. ⑧ 타르트지에 녹차가나슈를 담고 이쑤시개로 공기방울을 정리해준 뒤 냉장고에서 굳혀준다.",분량: 타르트팬1호사이즈 하나 분량 조리시간: 120분 이내,2022-10-30
녹차티라미수,"노른자 3개, 설탕 35g, 박력분 65g, 녹차가루 10g, 머랭(흰자 3개, 설탕 40g) [크림치즈필링] 크림치즈 125g, 설탕 65g, 사워크림 50g, 계란 20g, 생크림 180cc,판젤라틴 4g, 레몬즙 1ts, 녹차가루 ½ts","설탕 적당량, 물 적당량, 럼주 조금","① 계란 노른자에 분량의 설탕을 부어 색이 연해질 때까지 휘핑해준다. ② 머랭을 만들어 노른자 반죽에 섞어준다. ③ 노른자+머랭반죽에 가루류를 2~3번에 나눠 체 쳐 넣어가며 가볍게 섞어준다. ④ 18cm 원형틀에 넣어 예열된 180℃에서 20~30분간 구워준다. ⑤ 말라붙은 부분은 잘 도려내고 빵칼로 2 또는 3등분으로 나눠준다. ⑥ 스펀지를 무스틀에 맞게 잘라서 준비해준다. ⑦ 말랑하게 풀어논 크림치즈에 분량의 설탕 부어준다. ⑧ 사워크림, 계란, 레몬즙을 넣어준다. ⑨ 젤라틴을 찬물에 불려 중탕으로 녹여준다. ⑩ 80% 정도로 거품낸 생크림을 넣고 섞어준다. ⑪ 녹차가루를 넣어주어 색과 맛을 내준다. ⑫ 무스틀에 스펀지 한장을 깔고 시럽을 촉촉하게 듬뿍 발라준다. ⑬ 준비해둔 필링을 반 정도 채워 깔아주고 위에 스펀지 한장을 또 준비해 깔아준다. ⑭ 남은 공간에 필링을 꽉 채워 부어주고 냉장고에 2~3시간 정도 굳혀준다. ⑮ 위에 녹차가루를 뿌려 데코해준다.",,2022-10-30
녹차티백 미역오이냉국,"말린미역 10g, 오이 ½개, 녹차티백 1개, 뜨거운물 150ml, 차가운물 300ml, 설탕 1.5큰술, 식초 2큰술, 소금 1작은술","홍고추 1개, 미역양념(설탕 1큰술, 식초 2큰술, 소금 ½작은술, 다진마늘 1작은술, 깨 1작은술)","① 뜨거운물 150ml에 녹차티백 1개를 2~3분 정도 우려준다. ② 녹차물에 차가운 물 300ml를 넣고 온도를 식힌 뒤 설탕 1.5큰술, 식초 2큰술, 소금 1작은술을 넣어준다. 완성된 국물은 냉장실 혹은 냉동실에 넣어 차갑게 만들어준다. ③ 미역은 찬물에 담가 10분간 불려준다. ④ 불린 미역은 물기를 꽉 짠 뒤 잘게 잘라준다. ⑤ 오이는 0.5cm 두께로 채썰어주고 홍고추는 송송 썰어 준비해준다. ⑥ 큰 볼에 미역, 오이, 홍고추와 양념을 넣고 가볍게 섞어준다. ⑦ 냉장실에서 국물을 꺼내 ②번 볼에 붓고 깨 1작은술을 넣어준다.",분량: 2인분 기준 조리시간: 15분 이내 요리팁: 얼음이 들어가면 간이 더 싱거워질 수 있으니 소금을 더해 맞춰준다.,2022-10-30
녹차파운드케이크,"통밀가루 160g, 카놀라유 60g, 설탕 100g, 계란 3개, 녹차가루 10g, 베이킹파우더 2g, 베이킹소다 1g, 소금 2g, 두유 160ml",,"① 재료를 준비해준다. ② 계란 3개를 볼에 깨뜨려 넣은 뒤 설탕 100g을 넣어준다. ③ 거품이 나지 않을 정도로 섞어 꺼끌꺼끌한 느낌이 없도록 설탕을 녹여준다. ④ 통밀가루 160g을 체 쳐서 넣어준다. ⑤ 녹차가루 10g, 베이킹파우더 2g, 베이킹소다 1g도 체 쳐서 넣고 소금 2g도 넣어준다. ⑥ 두유 160ml을 넣어준다. ⑦ 카놀라유 60g을 넣어준다. ⑧ 종이유산지를 깐 틀에 반죽을 넣어준다. 그 후 180℃로 예열된 오븐에 35분 구워준다. ⑨ 10분 뒤 꺼내서 칼로 가운데를 갈라준 뒤 다시 구워준다. ⑩ 35분 뒤 꺼내준다.",6인분 기준 60분 이내 완성,2022-10-30
녹차팥 구겔호프 케이크,"버터 120g, 슈가파우더 75g, 달걀 91g(작은알 2개 정도), 아몬드가루 30g, 박력분 105g, 베이킹파우더 6g, 녹차가루 25g, 팥배기 85g, 우유 30g",호두 30g,"① 버터를 부드럽게 풀어준 후 슈가파우더를 모두 넣고 거품기로 천천히 섞어준다. ② ①이 고루 섞이면 계란을 한개씩 넣으면서 빠르게 휘핑해준다. ③ 가루류(박력분, 녹차가루, 베이킹파우더)를 체 쳐 넣고 주걱을 이용해 고루 섞어준다. ④ 가루류가 거의 다 섞여갈 때쯤 우유를 넣고 고루 섞어준다. ⑤ 팥배기, 호두를 넣고 가볍게 골고루 섞어준다. ⑥ 버터(또는 철판이형제)를 얇게 발라 둔 구겔호프팬에 반죽을 약 70% 채워준다. ⑦ 180℃로 예열된 오븐에 약 15분~25분간 구워준다.",2인분 기준 60분 이내,2022-10-30
녹차팥케잌,"크림치즈머핀믹스 300g, 우유 50ml, 녹차 2봉, 버터 또는 식용유 160g",팥 조금,"① 크림치즈머핀믹스에 버터 또는 식용유 160g, 우유 50ml를 넣고 휘핑기로 섞어준다. ② 녹차가루엑기스와 섞어준다. ③ 충전물을 틀에 조금 붓고, 팥을 넣고, 다시 충전물을 부어준다. ④ 미리 예열한 오븐에 170℃에서 15~20분 구워준다.",분량: 3인분 기준 조리시간: 60분 이내,2022-10-30
녹차팬케이크,"팬케이크믹스 250g, 계란 1개, 우유 155g, 녹차가루 0.5T","슈가파우더 약간, 베리믹스 0.5컵, 딸기잼 1T, 커스타드크림(계란 노른자 80g, 전분 30g, 설탕 85g, 버터 25g, 우유 250g, 생크림 65g)","[커스타드크림] ① 계란 노른자를 80g에 맞춰서 분리해준다. (계란노른자 1~2개 분량) ② 노른자+전분+설탕 60g+버터+우유를 넣고서 휘핑해준다. ③ 휘핑을 한 볼을 전자레인지에 넣고 4분 정도 돌려준다. ④ 10분 정도 식혀준다. ⑤ 어느정도 식으면 생크림+설탕 25g을 넣고 한번 더 휘핑해준다. (어느정도 묽어질 때까지) [팬케이크] ① 핫케이크믹스+계란+녹차+우유를 넣고 섞어준다. ② 팬에 아무것도 두르지 않은 상태로 약불에 맞춰주고, 반죽을 원하는 크기만큼 부어준다. ③ 윗면에 기포가 생기고 어느정도 바닥이 익으면 뒤집어준다. ④ 베리믹스+잼을 넣고서 섞어준다. ⑤ 구워낸 케이크를 깔고 위에다가 만들어둔 커스타드크림을 발라준다. ⑥ 커스타드크림 위에 빵을 얹어주는 과정을 2~3층 정도 해준다. ⑦ 제일 위에 잼과 베리믹스를 섞었던 것을 올려주고, 그 위에 슈가파우더를 살살 뿌려준다.",분량: 2인분 기준 조리시간: 30분 이내 요리팁 슈가파우더가 없을 경우 믹서기(또는 절구)에 설탕을 갈아준다. 반죽을 익힐 때는 기름을 두르지 않고 그냥 구워주어야 색이 이쁘게 나온다. 베리가 없을 경우 잼만 사용해도 된다. 잼의 종류는 취향껏 선택하면 된다.,2022-10-30
녹차푸라푸치노,"저지방우유 400ml, 녹차가루 30g, 바닐라아이스크림 1/4통","카라멜시럽 1t, 꿀 1t","① 저지방우유 200ml 2개를 냉동실에서 5시간 얼려준다. ② 믹서기에 얼린 우유, 바닐라 아이스크림, 녹차가루를 넣고 갈아준다. ③ 어느정도 갈아지면 꿀 1t를 첨가하여 다시 한번 갈아준다. ④ 컵에 옮겨담고 카라멜시럽을 위에 뿌려준다.",분량: 2인분 기준 조리시간: 15분 이내 요리팁: 녹차가루와 바닐라 아이스크림 대신 녹차 아이스크림을 사용해도 된다.,2022-10-30
녹차프라푸치노,"말차가루(녹차가루) 2큰술, 얼린 흰우유 200ml, 우유 100ml, 얼음 12개 ",연유 4큰술,"① 흰 우유는 미리 냉동실에서 얼려준다. 얼리지 않은 그냥 흰 우유도 준비해준다. ② 믹서기에 얼린 우유, 우유, 연유, 녹차, 말차가루를 넣고 갈아준다.",1인분 기준 10분 이내 완성,2022-10-30
녹차프라푸치노/녹차프라페,"녹차파우더 35~40g, 우유 100ml, 얼음 100g",휘핑크림,"① 거품기로 휘핑크림 100ml를 가볍게 저어 되직하게 만들어준다. 2~3분만 가볍게 휘핑해준다. ② 믹서통에 우유 약 100ml, 녹차파우더 두스푼(35~40g), 얼음(약 100g)을 넣어준다. (가루를 먼저 넣으면 바닥에 가라앉아 잘 섞이지 않으니 액체(우유)부터 넣어준다.) ③ 믹서 강(울트라 블렌드)으로 큰 얼음을 간 후, 중(일반 블렌드)으로 한 번 더 갈아준다. ④ 예쁜 컵에 녹차프라페, 휘핑크림 순으로 담고 마무리로 녹차파우더를 살짝 뿌려준다.",녹차파우더는 시중에 파는 제품 아무것이나 괜찮다. 단맛에 따라 가루 양은 조절한다.,2022-10-30
녹차호두쿠키,"녹인버터 140g, 달걀 1개, 박력분 200g, 베이킹소다 2g, 호두 55g, 설탕 100g, 베이킹파우더 2g, 녹차가루 1숟가락",바닐라익스트랙 2~3방울,"① 실온의 녹인 버터를 푼 후 설탕을 넣고 섞어준다. ② 달걀과 바닐라익스트랙을 넣고 섞어준다. ③ 박력분, 녹차가루, 베이킹파우더, 베이킹소다를 체 쳐 내린 후 다진 호두를 넣어 가볍게 섞어준다. ④ 아이스크림 스쿱으로 떼어낸 후 손가락으로 살짝 눌러주고 180℃ 예열된 오븐에서 15분간 구워준다.",분량: 6인분 이상 조리시간: 30분 이내 요리팁: 반죽이 질었다면 냉장고에 10~15분 정도 냉장해준다.,2022-10-30
녹차호떡,"녹차호떡믹스, 녹차가루","호두, 잣, 계피가루","① 녹차호떡믹스에 녹차가루를 더 넣고 반죽해준다. ② 첨가물에는 호두, 잣, 계피가루를 다져서 같이 버무려준다. ③ 예열된 팬에 호떡반죽을 덜어서 구워준다.",,2022-10-30
녹차휘낭시에,"달걀흰자 125g, 박력분 47g, 무염버터 125g, 꿀 20g, 아몬드파우더 50g, 녹차가루 3g, 설탕 90g",,"① 준비된 버터를 냄비에 넣고 갈색이 되도록 끓여준다. 그런 다음 체에 찌꺼기를 걸러서 식혀준다. ② 달걀 흰자에 설탕과 꿀을 넣어 잘 섞은 다음 체 친 가루류(박력분, 녹차가루, 아몬드분말)를 넣어 함께 섞어준다. ③ 식혀놓은 버터를 넣어 섞은 후 랩을 씌워 냉장실에서 반죽을 휴지시켜준다. (30분 이상) ④ 휴지가 끝난 반죽은 짤주머니에 담아서 식물성 오일 또는 녹인 버터를 바른 팬에 80% 가량 반죽이 차도록 담아준다. ⑤ 180~190℃로 예열한 오븐에서 12~15분 가량 구워준다. ⑥ 휘낭시에에 취향대로 녹인 초콜릿을 묻혀준다.",분량: 6인분 이상 조리시간: 60분 이내 요리팁: 오븐마다 온도와 시간이 조금씩 달라질 수 있다.,2022-10-30
더치 녹차빵,"강력분 290g, 말차가루(녹차가루) 10g, 물 180g, 인스턴트드라이이스트 7g, 설탕 6g, 소금 5g, 달걀 흰자 9g, 버터 9g, 제빵개량제(선택) 3g, 분유 12g","멥쌀가루(건식/시판용멥쌀가루) 100g, 중력분 20g, 인스턴트드라이이스트 2g, 설탕 2g, 소금 2g, 물 110~120g, 버터(마가린) 30g","① 반죽기에 버터를 제외한 모든 재료를 넣어 섞어준다. 반죽이 한덩이가 되면 버터를 넣어주고 반죽이 매끄러워질 때까지 반죽한 다음 1차 발효 50분, 2배~2.5배가 될 때까지 발효해준다. ② 토핑재료를 버터를 제외한 모든 재료를 섞어준다. 토핑은 빵반죽 1차 발효 후 30분 지난 후에 만들어준다. ③ 1차 발효는 거미줄처럼 나타나거나 가운에 손가락을 넣었을 경우 반죽이 그대로 유지되면 된다.  ④ 2등분해서 중간 발효를 15~20분 해준 후에 밀대로 타원형으로 밀어준다. ⑤ 반죽을 타원형으로 민 후에 위에서부터 돌돌 만 후에 마지막부분 이음새를 꼼꼼하게 집어 마무리해준다. 반죽을 너무 세게 말면 휠 수 있으니 주의해준다. ⑥ 오븐팬에 빵반죽을 놓은 후에 2차 30~40분 발효해준다. ⑦ 발효가 된 토핑반죽에 버터를 녹여 넣어 재빨리 섞어준다. ⑧ 2차 발효는 오븐팬을 흔들었을 때 흔들흔들거리면 된다. ⑨ 빵반죽을 5~10분 정도 건조시킨 후에 토핑을 0.2~0.3cm 두께로 펴 발라준다. ⑩ 예열된 오븐 180~190℃에서 25~30분 정도 구워준다. 빵 윗부분에 균열이 생기면서 황갈색이 나오면 오븐에서 꺼내준다.","오븐사양에 따라 시간, 온도를 조절해준다.",2022-10-30
두부 녹차 쉐이크,"전두부 1모, 녹차 1큰술, 꿀 1큰술, 설탕 1작은술, 우유 1/4컵, 식초음료 1/4컵",,① 믹서기에 모든 재료를 넣어서 갈아준다. ② 너무 달 수 있으니 개인 취향에 따라 꿀이나 설탕을 조절해준다.,,2022-10-30
딸기 녹차 치즈케이크,18cm 제누아즈 슬라이스 1장 ,"크림치즈 320g, 비정제황설탕 70g, 달걀 2개, 사워크림 70g, 생크림 80g, 옥수수전분 15g, 말차가루 8g","① 사워크림이 없으면 체에 키친타올을 깔고 플레인요구르트를 200g 정도 부어둔다. 그대로 반나절 이상 두어 위에 남은 요구르트만 사워크림 대신 사용해준다. ② 슬라이스 해둔 제누아즈는 15cm의 원형무스링으로 크기게 맞게 잘라서 바닥에 깔아둔다. ③ 볼에 크림치즈를 넣고 부드럽게 풀어준 다음, 설탕을 넣어서 충분히 섞어준다. ④ 풀어둔 달걀을 3~4번에 나누어 넣으면서 충분히 섞어주고 사워크림과 생크림을 차례대로 넣어가며 고루 섞어준다. 체 친 가루를 넣어서 거품기로 섞어준다. ⑤ 제누아즈를 깔아둔 틀에 반죽을 부어주고, 윗면을 잘 다듬어준다. 베이킹팬에 2컵 정도 물을 채워주고, 120℃로 예열해둔 오븐에 넣어서 약 1시간 정도 구워준다. ⑥ 구워진 치즈케이크는 틀째로 식혀주고, 완전히 식으면 틀에서 빼내어 냉장고에 넣어 차갑게 해서 먹는다. 생크림을 조금 휘핑해서 얹어주고, 딸기도 몇 개 얹어준다.",,2022-10-30
"땅콩쿠키,단호박쿠키,자색고구마쿠키,녹차쿠키","박력분 110g, 버터 55g, 땅콩버터 66g, 슈가파우더 55g, 달걀 22g, 박력분 123g, 단호박가루 11g, 버터 53g, 슈가파우더 53g, 달걀 34g, 박력분 110g, 아몬드가루 30g, 녹차가루 7g, 버터 60g, 슈가파우더 50g, 달걀흰자 20g, 박력분 120g, 자색고구마쿠키 50g, 버터 65g, 슈가파우더 60g, 달걀 40g",,① 실온에 둔 버터(땅콩버터)를 부드럽게 풀어준 뒤 슈가파우더를 넣고 섞어준다. ② 달걀(달걀 흰자)을 넣고 섞어준다. ③ 가루류(박력분 및 천연가루)를 체 쳐 넣고 가볍게 섞어준다. ④ 완성된 반죽은 비닐에 넣어 두께 5mm 정도로 밀어펴준 뒤 냉장고에서 한시간 정도 휴지시켜준다. ⑤ 월병틀이나 쿠키커터로 찍어준다. (월병틀에 덧가루를 살짝 묻혀 찍어준다.) ⑥ 쿠키에 묻은 덧가루는 털어준다. ⑦ 적당 간격을 두고 팬닝한다. ⑧ 170℃로 예열된 오븐에서 10~12분 구워준다.,1인분 기준 60분 이내 완성,2022-10-30
